| time |   in   |reset|load | inc |  out   |
| 0+   |      0 |  0  |  0  |  0  |      0 |
| 1    |      0 |  0  |  0  |  0  |      0 |
| 1+   |      0 |  0  |  0  |  1  |      0 |
| 2    |      0 |  0  |  0  |  1  |      0 |
| 2+   | -32123 |  0  |  0  |  1  |      0 |
| 3    | -32123 |  0  |  0  |  1  |      0 |
| 3+   | -32123 |  0  |  1  |  1  |      0 |
| 4    | -32123 |  0  |  1  |  1  |      0 |
| 4+   | -32123 |  0  |  0  |  1  |      0 |
| 5    | -32123 |  0  |  0  |  1  |      0 |
| 5+   | -32123 |  0  |  0  |  1  |      0 |
| 6    | -32123 |  0  |  0  |  1  |      0 |
| 6+   |  12345 |  0  |  1  |  0  |      0 |
| 7    |  12345 |  0  |  1  |  0  |      0 |
| 7+   |  12345 |  1  |  1  |  0  |      0 |
| 8    |  12345 |  1  |  1  |  0  |      0 |
| 8+   |  12345 |  0  |  1  |  1  |      0 |
| 9    |  12345 |  0  |  1  |  1  |      0 |
| 9+   |  12345 |  1  |  1  |  1  |      0 |
| 10   |  12345 |  1  |  1  |  1  |      0 |
| 10+  |  12345 |  0  |  0  |  1  |      0 |
| 11   |  12345 |  0  |  0  |  1  |      0 |
| 11+  |  12345 |  1  |  0  |  1  |      0 |
| 12   |  12345 |  1  |  0  |  1  |      0 |
| 12+  |      0 |  0  |  1  |  1  |      0 |
| 13   |      0 |  0  |  1  |  1  |      0 |
| 13+  |      0 |  0  |  0  |  1  |      0 |
| 14   |      0 |  0  |  0  |  1  |      0 |
| 14+  |  22222 |  1  |  0  |  0  |      0 |
| 15   |  22222 |  1  |  0  |  0  |      0 |
